#Chr	Start	End	Merge	Bampudke	SA
chr1	13900001	13950000	2.02E-08	3.24E-08	5.51E-08
chr1	13950001	14000000	1.52E-08	1.45E-08	4.37E-08
chr1	14000001	14050000	7.63E-09	6.88E-09	6.91E-08
chr1	14050001	14100000	5.19E-09	6.09E-09	3.32E-08
chr1	14100001	14150000	6.49E-09	4.23E-09	3.35E-08
chr1	14150001	14200000	5.69E-09	1.42E-09	4.02E-08
chr1	14200001	14250000	1.21E-08	6.33E-09	7.52E-08
chr1	14250001	14300000	8.22E-09	5.59E-09	3.21E-08
chr1	14300001	14350000	9.86E-10	3.31E-09	1.37E-08
chr1	14350001	14400000	7.18E-09	1.02E-08	1.33E-08
chr1	14400001	14450000	2.55E-09	1.12E-09	2.20E-08
chr1	14450001	14500000	2.01E-08	4.70E-09	3.74E-08
chr1	14500001	14550000	1.69E-08	4.24E-09	2.02E-08
chr1	14550001	14600000	9.26E-09	5.45E-09	2.13E-08
chr1	14600001	14650000	1.35E-08	4.13E-09	6.03E-08
chr1	14650001	14700000	2.07E-08	3.36E-09	5.61E-08
chr1	14700001	14750000	2.33E-08	2.90E-09	4.94E-08
chr1	14750001	14800000	1.45E-08	1.33E-09	3.65E-08
chr1	14800001	14850000	5.01E-09	6.09E-07	3.68E-08
chr1	14850001	14900000	1.69E-08	1.80E-09	2.35E-08
chr1	14900001	14950000	2.47E-08	4.02E-09	1.36E-07
chr1	14950001	15000000	2.55E-08	7.55E-10	1.21E-07
chr1	15000001	15050000	4.19E-08	2.29E-09	8.26E-08
chr1	15050001	15100000	2.95E-08	5.80E-09	3.90E-08
chr1	15100001	15150000	5.21E-08	7.53E-08	7.26E-08
chr1	15150001	15200000	8.21E-08	4.94E-08	9.28E-08
chr1	15200001	15250000	4.90E-08	4.47E-08	1.14E-07
chr1	15250001	15300000	3.99E-08	3.45E-08	1.14E-07
chr1	15300001	15350000	2.94E-08	2.49E-08	6.97E-08
chr1	15350001	15400000	5.46E-08	2.56E-08	9.32E-08
chr1	15400001	15450000	2.71E-08	2.88E-08	9.15E-08
chr1	15450001	15500000	2.67E-08	2.49E-08	4.08E-08
chr1	15500001	15550000	1.13E-08	1.72E-08	6.36E-08
chr1	15550001	15600000	5.03E-08	5.78E-08	1.43E-07
chr1	15600001	15650000	2.56E-08	1.17E-07	8.21E-08
chr1	15650001	15700000	2.05E-08	1.64E-07	5.00E-08
chr1	15700001	15750000	7.80E-08	5.21E-08	5.19E-08
chr1	15750001	15800000	6.54E-08	2.64E-08	4.85E-08
chr1	15800001	15850000	3.64E-08	3.37E-09	6.41E-08
chr1	15850001	15900000	2.50E-08	3.51E-09	2.42E-08
chr1	15900001	15950000	2.17E-08	4.61E-09	5.97E-08
chr1	15950001	16000000	2.95E-08	7.28E-08	4.42E-08
chr1	16000001	16050000	3.54E-08	1.32E-07	1.08E-07
chr1	16050001	16100000	3.13E-08	9.92E-08	2.52E-08
chr1	16100001	16150000	6.21E-08	1.16E-07	3.43E-08
chr1	16150001	16200000	1.39E-08	6.17E-08	2.84E-08
chr1	16200001	16250000	1.15E-09	2.68E-11	2.20E-09
chr1	16250001	16300000	5.92E-09	1.08E-10	2.20E-09
chr1	16300001	16350000	4.13E-09	7.02E-11	9.52E-09
chr1	16350001	16400000	1.35E-08	2.58E-09	8.21E-09
chr1	16400001	16450000	1.41E-08	2.40E-10	6.00E-09
chr1	16450001	16500000	1.63E-08	2.43E-08	1.92E-08
chr1	16500001	16550000	1.09E-08	8.96E-08	3.42E-08
chr1	16550001	16600000	6.73E-10	1.81E-08	9.37E-10
chr1	16600001	16650000	3.13E-09	6.14E-08	2.99E-08
chr1	16650001	16700000	1.36E-08	8.10E-08	9.15E-08
chr1	16700001	16750000	1.38E-08	8.34E-08	8.15E-08
chr1	16750001	16800000	5.19E-08	6.16E-08	3.36E-08
chr1	16800001	16850000	1.25E-08	8.02E-10	4.86E-08
chr1	16850001	16900000	1.95E-08	2.27E-09	7.02E-08
chr1	16900001	16950000	1.38E-08	9.39E-10	4.38E-08
chr1	16950001	17000000	1.91E-08	4.68E-08	3.23E-08
chr1	17000001	17050000	5.95E-09	1.65E-08	5.83E-08
chr1	17050001	17100000	1.07E-08	1.03E-09	2.78E-08
chr1	17100001	17150000	9.90E-09	7.20E-09	1.07E-08
chr1	17150001	17200000	8.09E-09	1.05E-08	8.04E-09
chr1	17200001	17250000	1.16E-08	3.73E-08	4.08E-08
chr1	17250001	17300000	2.54E-08	1.18E-08	6.40E-08
chr1	17300001	17350000	3.16E-08	1.03E-08	3.91E-08
chr1	17350001	17400000	3.64E-08	6.61E-08	5.14E-08
chr1	17400001	17450000	2.68E-08	1.13E-07	6.05E-08
chr1	17450001	17500000	3.11E-08	1.52E-07	7.26E-08
chr1	17500001	17550000	3.73E-08	1.31E-07	6.63E-08
chr1	17550001	17600000	3.36E-08	1.30E-07	2.24E-07
chr1	17600001	17650000	5.04E-08	1.58E-07	1.72E-07
chr1	17650001	17700000	3.88E-08	1.47E-07	7.79E-08
chr1	17700001	17750000	5.06E-08	1.82E-07	9.26E-08
chr1	17750001	17800000	5.99E-08	6.16E-08	6.47E-08
chr1	17800001	17850000	2.87E-08	1.92E-08	7.88E-08
chr1	17850001	17900000	4.22E-08	1.26E-07	1.17E-07
chr1	17900001	17950000	1.92E-08	1.61E-07	8.11E-08
chr1	17950001	18000000	1.15E-08	4.04E-08	1.10E-07
chr1	18000001	18050000	1.97E-08	9.81E-08	4.36E-08
chr1	18050001	18100000	3.26E-08	1.10E-07	4.87E-08
chr1	18100001	18150000	2.61E-08	1.07E-07	6.83E-08
chr1	18150001	18200000	2.63E-08	1.30E-07	7.30E-08
chr1	18200001	18250000	3.14E-08	9.99E-08	4.19E-08
chr1	18250001	18300000	1.24E-08	7.71E-08	2.22E-08
chr1	18300001	18350000	1.34E-08	9.47E-08	8.16E-09
chr1	18350001	18400000	5.24E-09	6.25E-08	6.45E-09
chr1	18400001	18450000	6.63E-09	3.11E-08	8.26E-09
chr1	18450001	18500000	1.88E-09	6.59E-09	3.96E-09
chr1	18500001	18550000	7.64E-09	3.75E-08	6.17E-09
chr1	18550001	18600000	5.74E-09	5.99E-08	7.82E-09
chr1	18600001	18650000	9.11E-09	4.36E-08	7.32E-09
chr1	18650001	18700000	8.06E-09	3.34E-08	3.40E-09
chr1	18700001	18750000	9.29E-09	3.88E-08	7.65E-09
chr1	18750001	18800000	3.71E-09	4.93E-08	7.41E-09
chr1	18800001	18850000	1.86E-08	4.25E-08	4.24E-09
chr1	18850001	18900000	1.56E-08	4.42E-08	2.34E-08
chr1	18900001	18950000	7.94E-09	7.91E-08	1.68E-08
chr1	18950001	19000000	1.47E-08	1.02E-07	1.44E-08
chr1	19000001	19050000	1.14E-08	7.02E-08	1.99E-08
chr1	19050001	19100000	1.26E-08	6.79E-08	3.42E-08
chr1	19100001	19150000	1.90E-08	5.71E-08	6.76E-09
chr1	19150001	19200000	1.01E-08	5.01E-08	1.29E-08
chr1	19200001	19250000	7.86E-09	3.75E-08	1.79E-08
chr1	19250001	19300000	8.81E-09	3.01E-08	1.25E-08
chr1	19300001	19350000	2.74E-08	2.12E-08	1.64E-08
chr1	19350001	19400000	6.47E-09	4.95E-09	1.94E-08
chr1	19400001	19450000	1.23E-08	1.36E-09	4.68E-09
chr1	19450001	19500000	3.90E-09	4.38E-08	1.28E-09
chr1	19500001	19550000	5.74E-09	5.95E-08	9.62E-09
chr1	19550001	19600000	3.69E-09	2.59E-08	5.41E-09
chr1	19600001	19650000	1.73E-08	6.69E-08	8.90E-09
chr1	19650001	19700000	3.40E-09	3.96E-08	4.45E-09
chr1	19700001	19750000	1.02E-08	1.39E-07	1.18E-08
chr1	19750001	19800000	5.79E-09	2.54E-08	3.00E-09
chr1	19800001	19850000	3.53E-08	1.98E-07	2.46E-08
chr1	19850001	19900000	2.09E-08	1.76E-07	4.09E-08
chr1	19900001	19950000	1.29E-08	1.91E-07	1.77E-08
chr1	19950001	20000000	1.09E-08	1.67E-07	4.22E-08
chr1	20000001	20050000	3.54E-08	1.37E-07	4.19E-08
chr1	20050001	20100000	2.12E-08	1.04E-07	2.89E-08
chr1	20100001	20150000	1.90E-08	3.22E-08	9.33E-09
chr1	20150001	20200000	1.19E-08	1.13E-07	1.52E-08
chr1	20200001	20250000	5.93E-09	9.31E-08	5.67E-09
chr1	20250001	20300000	1.13E-08	9.09E-08	1.44E-08
chr1	20300001	20350000	6.61E-09	1.23E-07	1.42E-08
chr1	20350001	20400000	5.00E-09	5.82E-08	1.47E-08
chr1	20400001	20450000	5.80E-09	6.24E-08	9.37E-09
chr1	20450001	20500000	6.11E-09	7.57E-08	1.24E-08
chr1	20500001	20550000	1.85E-08	1.57E-07	4.87E-08
chr1	20550001	20600000	2.01E-08	1.46E-07	3.80E-08
chr1	20600001	20650000	2.96E-08	1.09E-07	4.21E-08
chr1	20650001	20700000	3.51E-08	1.78E-07	5.26E-08
chr1	20700001	20750000	2.44E-08	1.71E-07	5.27E-08
chr1	20750001	20800000	1.30E-08	2.34E-07	4.75E-08
chr1	20800001	20850000	8.17E-09	1.92E-07	6.25E-08
chr1	20850001	20900000	1.36E-08	2.36E-07	7.35E-08
chr1	20900001	20950000	1.04E-08	2.29E-07	4.58E-08
chr1	20950001	21000000	1.27E-08	1.17E-07	6.00E-08
chr1	21000001	21050000	2.05E-08	1.59E-07	3.08E-08
chr1	21050001	21100000	8.94E-09	1.13E-07	3.91E-08
chr1	21100001	21150000	8.59E-09	7.41E-08	1.89E-08
chr1	21150001	21200000	8.93E-09	9.49E-08	3.45E-08
